SSS_Rate_ID,Regular_SS_Employer_Rate,Regular_SS_Employee_Rate,EC_Contribution,WISP_Employer_Rate,WISP_Employee_Rate,Total_Contribution,Start_Range,End_Range
1,380.0,180.0,10.0,0.0,0.0,570.0,0.0,4249.99
2,427.5,202.5,10.0,0.0,0.0,640.0,4250.0,4749.99
3,475.0,225.0,10.0,0.0,0.0,710.0,4750.0,5249.99
4,522.5,247.5,10.0,0.0,0.0,780.0,5250.0,5749.99
5,570.0,270.0,10.0,0.0,0.0,850.0,5750.0,6249.99
6,617.5,292.5,10.0,0.0,0.0,920.0,6250.0,6749.99
7,665.0,315.0,10.0,0.0,0.0,990.0,6750.0,7249.99
8,712.5,337.5,10.0,0.0,0.0,1060.0,7250.0,7749.99
9,760.0,360.0,10.0,0.0,0.0,1130.0,7750.0,8249.99
10,807.5,382.5,10.0,0.0,0.0,1200.0,8250.0,8749.99
11,855.0,405.0,10.0,0.0,0.0,1270.0,8750.0,9249.99
12,902.5,427.5,10.0,0.0,0.0,1340.0,9250.0,9749.99
13,950.0,450.0,10.0,0.0,0.0,1410.0,9750.0,10249.99
14,997.5,472.5,10.0,0.0,0.0,1480.0,10250.0,10749.99
